class, f0, f1
1, 0.46640431423990675, 0.5026745699002457
1, 0.5063401836466987, 0.4763625849356658
1, 0.4879755137735025, 0.49226543299118114
1, 0.4611572657047079, 0.48662715049877114
1, 0.46290628188310745, 0.5242157004481711
1, 0.4688820871593063, 0.48604886511493417
1, 0.4981781081475004, 0.48344658088766806
1, 0.4465821308847107, 0.48315743819574963
1, 0.4920565515231016, 0.4801214399306058
1, 0.4324442501093136, 0.5260951279456412
1, 0.43550502842151295, 0.5083128523926559
1, 0.4598455035709081, 0.512216278733555
1, 0.4544527036875092, 0.5081682810466965
1, 0.44570762279551096, 0.4899522914558334
1, 0.4980323567993005, 0.48662715049877114
1, 0.4371082932517127, 0.4993494289431835
1, 0.49511732983530105, 0.47477230013011423
1, 0.4908905407375019, 0.48069972531444266
1, 0.48535198950590297, 0.5119271360416365
1, 0.5095467133070982, 0.4919762902992627
1, 0.5015303891560998, 0.5182882752638428
1, 0.45940824952630815, 0.491542576261385
1, 0.4739833843463053, 0.5356368367789504
1, 0.5067774376912987, 0.435159751337285
1, 0.4774814167031046, 0.4717363018649704
1, 0.4659670601953068, 0.5204568454532312
1, 0.5089637079142982, 0.5370825502385428
1, 0.510712724092698, 0.48677172184473044
1, 0.4933683136569014, 0.5363596935087467
1, 0.5016761405042998, 0.47231458724880726
1, 0.47587815187290494, 0.5100477085441666
1, 0.5025506485934995, 0.4893740060719966
1, 0.5064859349948988, 0.4882174353043227
1, 0.46975659524850616, 0.5168425618042504
1, 0.5182917941990963, 0.529131126210785
1, 0.47675265996210475, 0.4883620066502819
1, 0.4750036437837051, 0.4947231458724881
1, 0.4741291356945052, 0.5369379788925835
1, 0.4940970703979013, 0.49241000433714044
1, 0.4994898702813002, 0.43891860633222496
2, 0.6295000728756741, 0.49515685991036584
2, 0.6325608511878735, 0.4963134306780397
2, 0.6557353155516691, 0.5044094260517566
2, 0.6257105378224749, 0.48778372126644504
2, 0.6513627751056698, 0.487205435882608
2, 0.6432006996064715, 0.491542576261385
2, 0.6519457804984699, 0.5284082694809888
2, 0.6297915755720741, 0.4467254590140235
2, 0.6073458679492786, 0.5019517131704496
2, 0.6520915318466697, 0.47853115512505423
2, 0.5716367876402858, 0.5019517131704496
2, 0.6466987319632707, 0.5646956773167559
2, 0.6538405480250694, 0.4944340031805697
2, 0.6652091531846671, 0.49313286106693655
2, 0.6462614779186707, 0.4780974410871765
2, 0.6531117912840695, 0.5058551395113489
2, 0.6599621046494681, 0.5061442822032673
2, 0.6230870135548755, 0.4701460170594189
2, 0.6099693922168782, 0.48763914992048574
2, 0.5902929602098821, 0.4937111464507734
2, 0.6363503862410728, 0.4556888824634957
2, 0.5994752951464801, 0.5138065635391066
2, 0.6312490890540737, 0.4653751626427642
2, 0.6197347325462762, 0.4801214399306058
2, 0.6073458679492786, 0.514095706231025
2, 0.6348928727590731, 0.5584791094405089
2, 0.5967060195306807, 0.47231458724880726
2, 0.6738084827284653, 0.47968772589272807
2, 0.6385366564640724, 0.5667196761601851
2, 0.6426176942136717, 0.47838658377909493
2, 0.615362192100277, 0.4666763047563973
2, 0.6125929164844774, 0.4973254300997542
2, 0.6335811106252733, 0.4820008674280758
2, 0.5969975222270807, 0.4987711435593465
2, 0.6449497157848713, 0.48865114934220044
2, 0.6264392945634748, 0.46971230302154116
2, 0.6188602244570764, 0.49400028914269195
2, 0.6465529806150708, 0.48850657799624114
2, 0.6394111645532723, 0.5194448460315166
2, 0.6341641160180731, 0.5211797021830273
3, 0.580819122576884, 0.5991036576550528
3, 0.5493368313656902, 0.6002602284227265
3, 0.5598309284360881, 0.6054647968772591
3, 0.5706165282028859, 0.5924533757409283
3, 0.5697420201136861, 0.6116813647535059
3, 0.5509400961958899, 0.6196327887812635
3, 0.5547296312490891, 0.6193436460893452
3, 0.5918962250400817, 0.5641173919329189
3, 0.5545838799008892, 0.591730519011132
3, 0.5682845066316864, 0.5699002457712881
3, 0.5993295437982803, 0.6300419256903282
3, 0.5704707768546861, 0.618042503975712
3, 0.5642034688820873, 0.631198496458002
3, 0.5614341932662877, 0.6281624981928583
3, 0.5923334790846816, 0.6317767818418388
3, 0.5690132633726863, 0.5736591007662282
3, 0.5351989505902931, 0.6161630764782421
3, 0.5649322256230871, 0.6154402197484459
3, 0.5837341495408834, 0.6322104958797166
3, 0.5499198367584901, 0.6038745120717074
3, 0.5528348637224895, 0.6592453375740929
3, 0.55079434484769, 0.5937545178545611
3, 0.6015158140212798, 0.5904293768974989
3, 0.5666812418014868, 0.6421859187509036
3, 0.580527619880484, 0.6058985109151367
3, 0.5729485497740855, 0.6177533612837935
3, 0.5940824952630813, 0.6070550816828104
3, 0.5518146042850898, 0.5736591007662282
3, 0.5624544527036875, 0.6112476507156281
3, 0.590875965602682, 0.6414630620211074
3, 0.55006558810669, 0.5944773745843575
3, 0.6166739542340768, 0.6670521902558915
3, 0.5681387552834865, 0.5548648257915281
3, 0.6010785599766799, 0.6012722278444413
3, 0.5717825389884856, 0.6176087899378344
3, 0.5975805276198806, 0.6296082116524505
3, 0.5846086576300831, 0.5982362295792973
3, 0.5764465821308847, 0.6173196472459158
3, 0.5344701938492933, 0.6145727916726904
3, 0.5945197493076813, 0.6231025010842852
4, 0.48287421658650354, 0.6570767673847043
4, 0.42850896370791436, 0.6359693508746568
4, 0.42092989360151595, 0.6037299407257481
4, 0.4774814167031046, 0.6664739048720543
4, 0.45328669290190937, 0.6057539395691773
4, 0.47456638973910514, 0.6264276420413475
4, 0.4130593207987175, 0.5720688159606766
4, 0.5229558373414954, 0.5910076622813357
4, 0.45037166593791006, 0.6478242012433135
4, 0.45328669290190937, 0.603585369379789
4, 0.43346450954671334, 0.616741361862079
4, 0.4978866054511005, 0.6358247795286974
4, 0.4069377641743187, 0.6601127656498483
4, 0.4398775688675121, 0.645655631053925
4, 0.4511004226789099, 0.6385716351019228
4, 0.4564932225623088, 0.6290299262686136
4, 0.4344847689841132, 0.6385716351019228
4, 0.4596997522227082, 0.6212230735868152
4, 0.4802506923189041, 0.6258493566575106
4, 0.47471214108730514, 0.6397282058695968
4, 0.4357965311179129, 0.6540407691195607
4, 0.4668415682845067, 0.6543299118114789
4, 0.42778020696691454, 0.648691629319069
4, 0.4365252878589127, 0.5784299551828826
4, 0.42836321235971436, 0.6359693508746568
4, 0.46975659524850616, 0.611103079369669
4, 0.4314239906719137, 0.6025733699580742
4, 0.460282757615508, 0.6340899233771865
4, 0.41670310450371667, 0.6203556455110598
4, 0.4063547587815188, 0.6644499060286252
4, 0.4860807462469028, 0.6523059129680499
4, 0.4783559247923043, 0.6248373572357958
4, 0.4448331147063111, 0.6122596501373427
4, 0.4591167468299082, 0.6041636547636259
4, 0.44075207695671187, 0.6348127801069828
4, 0.47471214108730514, 0.634957351452942
4, 0.47791867074770455, 0.604308226109585
4, 0.4089782830491182, 0.6191990747433858
4, 0.4097070397901181, 0.6265722133873066
4, 0.5024048972452996, 0.6095127945641173
