classFirst,98,8,comma
ZFn, 2172, 314, 81, 565, 67, 17, 334, 773, 23, 55, 94, 7, 2474, 699, 522, 267, 574, 541, 565, 64, 1007, 163, 1536, 564, 1288, 632, 166, 846, 260, 183, 344, 1, 96, 33, 10, 515, 919, 8, 41, 1257, 1475, 3341, 103, 135, 5551, 1835, 234, 17, 1509, 125, 394, 318, 463, 59, 778, 522, 1084, 27, 108, 1211, 295, 264, 611, 1218, 44, 118, 8, 1332, 4382, 2577, 810, 0, 420, 388, 55, 30, 400, 199, 4, 916, 0, 147, 1, 38, 2, 199, 18, 14, 22, 0, 13, 102, 207, 281, 0, 3, 16, 9
ZFn, 265, 157, 17, 263, 23, 0, 94, 435, 3, 14, 19, 9, 1036, 546, 416, 239, 370, 351, 263, 103, 514, 67, 782, 129, 582, 394, 31, 404, 107, 47, 125, 0, 55, 4, 2, 69, 532, 0, 12, 361, 542, 1278, 11, 52, 3312, 353, 253, 5, 90, 63, 66, 149, 104, 9, 624, 202, 1265, 5, 73, 830, 145, 110, 327, 1160, 76, 282, 3, 1015, 1315, 1946, 499, 0, 302, 220, 14, 2, 165, 132, 1, 268, 1, 20, 0, 59, 0, 71, 0, 0, 3, 0, 5, 4, 25, 82, 0, 0, 25, 2
ZFn, 440, 455, 15, 185, 12, 1, 59, 982, 7, 49, 40, 2, 1089, 972, 534, 199, 282, 445, 185, 24, 493, 54, 686, 306, 418, 652, 35, 611, 103, 36, 221, 2, 201, 12, 0, 112, 747, 1, 2, 406, 1128, 1624, 12, 88, 3585, 673, 584, 3, 143, 204, 203, 131, 148, 37, 494, 475, 1025, 0, 178, 810, 154, 76, 384, 1841, 115, 289, 2, 1397, 1282, 3159, 546, 0, 365, 345, 38, 6, 135, 207, 0, 506, 1, 28, 0, 63, 0, 49, 0, 0, 12, 0, 4, 7, 49, 56, 0, 0, 7, 2
ZFn, 2310, 1732, 253, 4730, 475, 0, 114, 2656, 326, 57, 140, 21, 4446, 624, 1321, 678, 1873, 935, 4730, 2, 2468, 310, 3767, 4182, 993, 10008, 479, 2664, 74, 485, 160, 0, 92, 49, 6, 156, 2681, 44, 135, 4386, 4519, 8359, 94, 723, 13830, 66, 1216, 1, 149, 866, 2997, 69, 2291, 90, 2064, 2837, 1516, 2, 11, 1421, 20, 596, 2168, 1407, 59, 38, 0, 5369, 6883, 7450, 3168, 0, 446, 1517, 30, 2, 73, 163, 1, 1147, 0, 94, 0, 3, 0, 18, 6, 6, 99, 0, 11, 10, 26, 1030, 105, 0, 77, 66
ZFn, 139, 148, 12, 347, 31, 0, 17, 289, 8, 12, 25, 12, 422, 81, 194, 134, 112, 104, 347, 6, 323, 72, 372, 221, 219, 481, 59, 270, 16, 30, 22, 2, 34, 1, 1, 5, 236, 11, 58, 283, 808, 498, 13, 43, 1503, 352, 130, 3, 114, 114, 197, 40, 277, 13, 273, 211, 159, 4, 13, 237, 19, 75, 267, 177, 12, 9, 0, 642, 1018, 539, 233, 0, 48, 65, 6, 6, 33, 82, 0, 109, 0, 35, 0, 3, 8, 6, 24, 5, 1, 0, 2, 50, 9, 135, 0, 0, 11, 6
XZ, 87981, 4658, 1871, 7965, 429, 2, 644, 36045, 2865, 3091, 1335, 33, 50299, 4186, 2225, 10967, 4561, 30188, 7965, 23, 11439, 211, 37991, 4152, 3301, 120786, 114, 27773, 2490, 1564, 7444, 0, 9043, 40, 10, 468, 4411, 7, 804, 7896, 17757, 61163, 705, 2438, 114332, 708, 7092, 31, 5256, 1705, 4807, 3284, 15227, 1634, 9224, 3626, 25922, 33, 14, 25161, 57, 189, 14251, 12312, 1032, 321, 4, 42946, 16962, 52870, 12051, 0, 8896, 26498, 381, 18, 611, 1007, 8, 18013, 18, 361, 1, 13, 0, 83, 0, 12, 193, 0, 11, 0, 76, 3405, 0, 3, 174, 54
XZ, 435, 16, 25, 61, 6, 0, 11, 190, 3, 3, 17, 0, 327, 168, 31, 130, 140, 64, 61, 2, 151, 0, 83, 108, 64, 215, 0, 45, 16, 55, 210, 0, 47, 0, 0, 20, 104, 0, 0, 223, 322, 484, 0, 139, 282, 96, 70, 0, 0, 13, 34, 12, 71, 3, 71, 70, 99, 0, 0, 495, 6, 17, 49, 155, 29, 2, 0, 433, 455, 438, 211, 0, 73, 52, 0, 0, 6, 22, 0, 251, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 37, 3
XZ, 22521, 1679, 3226, 3440, 348, 1, 652, 8690, 212, 248, 1639, 3, 12617, 13912, 1416, 6029, 5584, 2062, 3440, 23, 2336, 248, 6297, 6217, 1307, 11038, 31, 5514, 2013, 485, 3386, 16, 146, 95, 62, 499, 6237, 29, 62, 13601, 15429, 16927, 189, 2756, 22835, 902, 2616, 17, 66, 4225, 588, 1848, 3132, 554, 5403, 4097, 8035, 3, 2, 8589, 47, 399, 1638, 6659, 977, 108, 2, 9308, 21938, 33411, 9500, 1, 3055, 3783, 209, 2, 617, 1188, 3, 6709, 22, 823, 0, 9, 2, 31, 1, 66, 199, 0, 35, 2, 153, 1057, 0, 0, 1063, 285
XZ, 4024, 325, 557, 543, 88, 2, 86, 1687, 21, 19, 274, 0, 2743, 2224, 522, 890, 628, 451, 543, 5, 310, 43, 796, 801, 371, 1466, 1, 633, 261, 126, 1310, 1, 18, 137, 75, 69, 486, 10, 15, 1474, 2735, 2188, 33, 304, 2720, 1092, 387, 0, 1, 225, 59, 201, 606, 123, 474, 574, 1204, 0, 0, 1822, 4, 139, 299, 413, 427, 7, 11, 1509, 1801, 5149, 1778, 0, 597, 273, 92, 1, 58, 291, 9, 1447, 8, 259, 0, 0, 0, 13, 0, 31, 111, 0, 34, 0, 18, 125, 1, 0, 169, 70
XZ, 1804, 50, 148, 277, 57, 1, 30, 790, 28, 22, 100, 1, 1026, 265, 132, 135, 161, 500, 277, 0, 77, 14, 390, 245, 366, 1039, 0, 72, 258, 37, 256, 0, 15, 18, 0, 97, 233, 0, 19, 359, 842, 1230, 46, 226, 2018, 515, 165, 2, 5, 90, 298, 231, 279, 325, 431, 209, 752, 0, 0, 416, 0, 67, 163, 382, 430, 12, 1, 804, 686, 2910, 272, 0, 388, 39, 105, 5, 29, 72, 1, 752, 0, 125, 0, 0, 2, 5, 1, 19, 3, 0, 15, 0, 26, 12, 1, 0, 2, 43
