class, f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15
 0, 0.780702794146468, 0.02952237919870154, 0.2660051914805457, 0.295454570390755, 0.9559227207139261, 0.8233623105596, 0.059655311572913206, 0.1560433839192159, 0.9835496148615942, 0.05423033043832302, 0.5556095136138616, 0.7973494998072601, 0.08191621636834487, 0.04229768936829919, 0.041303004125621455, 0.4382221001535722
 0, 0.9243561799704697, 0.04653034748183697, 0.17857476008653186, 0.2074356019910343, 0.9188474904872185, 0.9278008193637064, 0.029825658408978776, 0.19082671649733007, 0.8131649208169452, 0.0727165448114986, 0.6041401946972694, 0.9681869899975422, 0.02768901689276606, 0.015261473458709983, 0.03849873730387317, 0.4214141403417434
 0, 0.8636860219686552, 0.1147499664780305, 0.17571249691281668, 0.2938717589340903, 0.9085232247633725, 0.9728949207106343, 0.05771942760339732, 0.1575137511200095, 0.9438503226808502, 0.054999501138814876, 0.6147205588504122, 0.8030228402303519, 0.036990415155700895, 0.0028780655271744807, 0.035814732292540986, 0.3365831309781744
 0, 0.8744153910841848, 0.011768018055359413, 0.20279925044063718, 0.2830617384430225, 0.8976151634316888, 0.9210822631174185, 0.04486187228823239, 0.15682885961969015, 0.883239028845673, 0.010827738193208123, 0.8706437191590849, 0.8468100518713814, 0.09602128750256106, 0.02514416454981262, 0.02965364409119756, 0.4632337954131469
 0, 1.0, 0.12010174409407402, 0.2142676142145893, 0.23400682278010496, 0.8972794282172656, 0.9341773991830696, 0.0452380296568895, 0.1787855743926901, 1.0, 0.07196953665489365, 0.2975087919254606, 0.9329614397163031, 0.007422429250205445, 0.028622490148669095, 0.038386395694806286, 0.4568747248015313
 0, 0.8675269037716326, 0.05210782189214519, 0.06154238622392673, 0.29272663513039365, 1.0, 0.9927320370648461, 0.026379057005407724, 0.19264399243170663, 0.811353737234102, 0.013509314376777404, 0.7537539024301471, 0.9211959878001724, 0.01941948535184194, 0.01010852491717318, 0.001101519694572932, 0.45164561037815243
 0, 0.7376285146704264, 0.07075116381684354, 0.21201321581903373, 0.24179224045020667, 0.9972763101838046, 0.8430920211864668, 0.03723784910238549, 0.1792363758031978, 0.7893747568303616, 0.001964267318895609, 0.4987061068110653, 1.0, 0.00857535827960433, 0.04831681619933541, 0.014609853825815753, 0.3934761881927857
 0, 0.8703247424502576, 0.0012394672628921687, 0.29340546464659206, 0.2317657321620902, 0.9472197993064657, 0.856127277751593, 0.04630988158041914, 0.17290216462621538, 0.7582446076604648, 0.04805503253954811, 0.449471588434326, 0.9346014430081571, 0.07094538591090677, 0.041924514928036886, 0.0436382006263931, 0.44858130152170383
 0, 0.8652886763680527, 0.03470543670723997, 0.12488198291658592, 0.20215598435418328, 0.894000842126598, 0.9466660897974006, 0.05025508581250809, 0.1819022725939626, 0.9035688669756687, 0.026993231846073506, 0.23847857945828357, 0.7448852824899381, 0.095429061242545, 0.028471736888994934, 0.004189098647856305, 0.39491401279496713
 0, 0.851345588134067, 0.05565694315434601, 0.20060115897051337, 0.22838729281453268, 0.9460308338503215, 1.0, 0.039176223468254, 0.16059852046725093, 0.794037032788361, 0.044342067199270606, 0.701123367093662, 0.8628404516826472, 0.051145556558360464, 0.02900226437145515, 0.040940018964874994, 0.5163443842539455
