3.5436 -1.50745 0
-1.14889 0.723568 0
6.30625 -2.31223 0
8.2505 -1.40964 0
9.42168 -2.494 0
4.62721 -0.593485 0
-2.99057 -1.15394 0
0.807054 -0.553506 0
11.8325 -0.913693 0
-0.864838 -0.720122 0
7.5391 -2.02466 0
-0.465563 -2.3547 0
8.96422 -1.24184 0
-1.77775 -1.90666 0
3.32672 -1.56329 0
0.11003 -2.77251 0
4.22705 -0.538391 0
5.22482 -1.06928 0
-0.968958 -2.14083 0
4.65495 1.02939 0
3.1398 -1.03905 0
1.85527 -0.418906 0
-11.1977 0.765022 0
1.44919 -1.68082 0
6.34791 -1.69794 0
16.5582 0.579533 0
0.568527 -2.17056 0
5.56891 -1.702 0
5.36 -2.12055 0
-5.24237 -0.673251 0
-5.13578 -1.85272 0
-0.0150272 -1.2509 0
-0.751516 0.268193 0
-5.44619 -2.01367 0
3.09194 -0.910169 0
6.35718 -2.88109 0
-2.1511 -0.587179 0
9.36054 1.46993 0
-0.953318 0.139805 0
-2.63281 -1.35238 0
-2.88236 -1.28358 0
-2.51971 -1.28271 0
-3.45516 -0.838743 0
-2.62327 -0.00947749 0
-4.13689 -3.01876 0
5.73224 -1.59799 0
-0.00284882 -0.727726 0
0.33347 -0.768208 0
4.69058 0.00366094 0
0.0578438 -1.07875 0
0.553607 -0.808243 0
-3.51089 -2.85245 0
2.0997 -2.48456 0
-5.73961 0.40351 0
1.12034 -0.6227 0
1.52601 -1.252 0
5.77649 -0.51237 0
5.47246 -1.30173 0
-3.89571 -1.28381 0
-7.12866 0.211571 0
0.900925 -0.205548 0
-6.17075 -1.91971 0
3.03281 -1.02879 0
-0.240216 -0.0863333 0
-1.47897 -1.38626 0
-6.1929 0.0334629 0
4.03155 -0.903405 0
-6.26689 -2.66321 0
7.69185 -0.166963 0
4.94242 -1.02754 0
3.48639 0.0283444 0
-4.28773 0.420861 0
-0.555954 1.68255 0
4.70667 0.445411 0
8.37904 -0.38682 0
12.3394 -2.65748 0
-3.03294 -0.466915 0
-0.750449 1.39321 0
-1.31916 -1.93284 0
-7.11085 -0.937063 0
3.44474 -0.184393 0
1.66292 -0.668699 0
0.496345 -2.82415 0
-6.94707 -1.9895 0
-4.70077 -1.73187 0
1.3043 -1.14819 0
10.2153 -1.9764 0
